timestamp,price,market,surface,remote_support,lighting,advertiser_type,no_of_rooms,url,is_for_sale,posting_id
04-09-2023,415549,primary,40.08,TRUE,null,developer,2,https://otodom.pl/pl/oferta/pruszcz-park-e-b-22-mieszkanie-40-08-m2-i-pietro-ID4l0uk,TRUE,4l0uk
04-09-2023,499000,secondary,54,TRUE,null,agency,2,https://otodom.pl/pl/oferta/m3-z-duzym-balkonem-na-radogoszczu-ID4kE7E,TRUE,4kE7E
04-09-2023,410261,primary,39.57,TRUE,null,developer,2,https://otodom.pl/pl/oferta/pruszcz-park-e-a-8-sloneczne-mieszkanie-39m2-ID4hOyx,TRUE,4hOyx
04-09-2023,1460000,primary,159.7,FALSE,null,agency,5,https://otodom.pl/pl/oferta/prestizowe-domy-w-okolicy-oporowa-duzo-zieleni-ID4kXOS,TRUE,4kXOS
04-09-2023,259000,secondary,61.82,FALSE,null,agency,2,https://otodom.pl/pl/oferta/2-pok-62m-1-pietro-3-balkony-ID4mpLx,TRUE,4mpLx
04-09-2023,2990000,secondary,353,TRUE,null,agency,6,https://otodom.pl/pl/oferta/dom-na-sprzedaz-piaseczynski-konstancin-jeziorna-ID4mnVC,TRUE,4mnVC
04-09-2023,648000,primary,124,TRUE,null,private,5,https://otodom.pl/pl/oferta/dom-strzelin-zostal-tylko-lewy-blizniak-ID4hQNw,TRUE,4hQNw
04-09-2023,340000,secondary,43,FALSE,null,agency,2,https://otodom.pl/pl/oferta/2-pokoje-z-wyposazeniem-gorna-balkon-ID4mp2X,TRUE,4mp2X
04-09-2023,220000,secondary,36,FALSE,null,agency,2,https://otodom.pl/pl/oferta/2-pokoje-centralne-ogrzewanie-tarnowskie-gory-ID4mqjx,TRUE,4mqjx
04-09-2023,665000,primary,95,TRUE,null,developer,4,https://otodom.pl/pl/oferta/promocja-nowy-dom-oddanie-marzec-2023-fotowoltaika-ID4kKIg,TRUE,4kKIg
04-09-2023,199000,secondary,35.87,FALSE,null,agency,2,https://otodom.pl/pl/oferta/mieszkanie-35-87-m-bydgoszcz-ID4jMcz,TRUE,4jMcz
04-09-2023,523776,primary,40.92,FALSE,null,agency,2,https://otodom.pl/pl/oferta/2-pokoje-z-balkonem-nowe-osiedle-blisko-morza-ID4jgvI,TRUE,4jgvI
04-09-2023,340000,secondary,79.2,FALSE,null,agency,3,https://otodom.pl/pl/oferta/m3-blisko-centrum-ID4krtl,TRUE,4krtl
04-09-2023,474000,primary,93.49,TRUE,null,developer,4,https://otodom.pl/pl/oferta/promocja-ogrod-dwa-miejsca-postojowe-pompa-ciepla-ID4kZme,TRUE,4kZme
04-09-2023,1290000,secondary,210,TRUE,null,agency,5,https://otodom.pl/pl/oferta/przepiekny-dom-z-zaawansowanymi-technologiami-ID4lWld,TRUE,4lWld
04-09-2023,549000,secondary,50,FALSE,null,agency,3,https://www.otodom.pl/pl/oferta/inwestycja-premium-kredyt-2-faktura-vat-ID4lUiy,TRUE,4lUiy
04-09-2023,452081,primary,37.99,FALSE,null,developer,2,https://www.otodom.pl/pl/oferta/gotowy-kameralny-apartament-w-lukecinie-ID4m6oV,TRUE,4m6oV
04-09-2023,549900,primary,129,TRUE,null,private,4,https://www.otodom.pl/pl/oferta/rezerwacja-biertowice-k-krakowa-nowy-ladny-dom-ID488PD,TRUE,488PD
04-09-2023,849000,primary,71.6,FALSE,null,developer,4,https://www.otodom.pl/pl/oferta/baltic-cottages-segment-b0-1-dostepny-od-reki-ID4mmNH,TRUE,4mmNH
04-09-2023,489000,secondary,84.43,FALSE,null,agency,3,https://otodom.pl/pl/oferta/mieszkanie-biuro-w-centrum-katowic-wojewodzka-ID4lRwi,TRUE,4lRwi
04-09-2023,0,primary,28.42,TRUE,null,developer,2,https://otodom.pl/pl/oferta/basen-sauna-jacuzzi-restauracja-bawialnia-ID49Bse,TRUE,49Bse
04-09-2023,449900,primary,40.35,FALSE,null,agency,2,https://otodom.pl/pl/oferta/2-pokojowe-mieszkanie-40-35m2-emilii-plater-2-ID4meHJ,TRUE,4meHJ
04-09-2023,830000,primary,129.62,FALSE,null,private,5,https://otodom.pl/pl/oferta/dom-w-zabudowie-blizniaczej-z-garazem-strych-16m2-ID4didK,TRUE,4didK
04-09-2023,290000,secondary,47.23,FALSE,null,agency,3,https://otodom.pl/pl/oferta/mieszkanie-darlowo-ID4imHv,TRUE,4imHv
04-09-2023,495000,primary,84,FALSE,null,agency,3,https://otodom.pl/pl/oferta/mieszkanie-57m2-30m2-poddasze-0-prowizji-ID4lZKD,TRUE,4lZKD
04-09-2023,348777,primary,25.74,FALSE,null,agency,1,https://otodom.pl/pl/oferta/pruszkow-26m2-promocja-sie-konczy-nie-czekaj-ID4gtcO,TRUE,4gtcO
04-09-2023,600000,secondary,31,FALSE,null,agency,1,https://otodom.pl/pl/oferta/mieszkanie-31-m-kolobrzeg-ID4hVwv,TRUE,4hVwv
04-09-2023,499000,secondary,61.5,TRUE,null,agency,3,https://otodom.pl/pl/oferta/mieszkanie-61-50-m-gorzow-wielkopolski-ID4mjXF,TRUE,4mjXF
04-09-2023,405384,primary,63.84,FALSE,null,private,4,https://otodom.pl/pl/oferta/bezczynszowe-apartamenty-63-84m2-fotowoltaika-ID4cXZG,TRUE,4cXZG
04-09-2023,1399999,secondary,342,TRUE,null,agency,7,https://www.otodom.pl/pl/oferta/wolany-bud-mieszk-uslugowy-garaz-po-remoncie-ID4lwXt,TRUE,4lwXt
04-09-2023,715000,secondary,37.82,FALSE,null,agency,2,https://www.otodom.pl/pl/oferta/wykonczony-apartament-przy-samym-morzu-2-pokoje-ID4lKqu,TRUE,4lKqu
04-09-2023,999000,secondary,46.3,FALSE,null,agency,2,https://www.otodom.pl/pl/oferta/wyjatkowy-apartament-przy-morzu-w-ustroniu-morskim-ID4lcL2,TRUE,4lcL2
04-09-2023,349000,primary,80.34,FALSE,null,agency,4,https://www.otodom.pl/pl/oferta/wyjatkowa-nieruchomosc-na-sprzedaz-z-ogrodkiem-ID4ls14,TRUE,4ls14
17-10-2023,423500,primary,47.9,FALSE,null,agency,3,https://otodom.pl/pl/oferta/nowe-3-pok-blisko-parku-gotowe-do-odbioru-ID4nyh4,TRUE,4nyh4
17-10-2023,314000,secondary,72.2,FALSE,null,agency,3,https://otodom.pl/pl/oferta/mieszkanie-72-2m2-3pok-parter-bezczynszowe-ID4nwqO,TRUE,4nwqO
17-10-2023,643325,primary,67.69,TRUE,null,developer,2,https://otodom.pl/pl/oferta/pruszcz-park-e-a-26-mieszkanie-67-69-m2-na-ii-p-ID4hXrU,TRUE,4hXrU
17-10-2023,750000,secondary,61.5,FALSE,null,agency,2,https://otodom.pl/pl/oferta/mieszkanie-dla-rodziny-w-bdb-lokalizacji-ID4nvur,TRUE,4nvur
17-10-2023,539856,primary,55.02,TRUE,null,agency,3,https://otodom.pl/pl/oferta/55-m2-z-dwoma-balkonami-pn-pd-rabat-kredyt2-ID4nc63,TRUE,4nc63
17-10-2023,600000,primary,58.43,FALSE,null,agency,3,https://otodom.pl/pl/oferta/nowy-apartament-z-ogrodkiem-ID4nlc2,TRUE,4nlc2
17-10-2023,550000,secondary,57.3,FALSE,null,agency,3,https://otodom.pl/pl/oferta/komfortowe-trzy-pokoje-weglinek-ID4iqjh,TRUE,4iqjh
17-10-2023,165500,secondary,38.42,FALSE,null,agency,1,https://otodom.pl/pl/oferta/duza-kawalerka-kolo-sulechowa-ID4nxR4,TRUE,4nxR4
17-10-2023,431137,primary,45.89,FALSE,null,agency,3,https://otodom.pl/pl/oferta/nowa-inwestycja-3-pok-z-balkonem-dla-rodziny-2025-ID4nu63,TRUE,4nu63
17-10-2023,413419,primary,42.23,FALSE,null,agency,2,https://otodom.pl/pl/oferta/40m2-kredyt-2-nowe-2-pokoje-niska-cena-ID4nuIk,TRUE,4nuIk
17-10-2023,173000,secondary,29,FALSE,null,agency,1,https://otodom.pl/pl/oferta/kawalerka-do-wlasnej-aranzacji-blisko-sum-ID4nxFV,TRUE,4nxFV
17-10-2023,495000,secondary,58.2,TRUE,null,agency,3,https://otodom.pl/pl/oferta/mieszkanie-3-pokojowe-58-2m2-ID4mO0b,TRUE,4mO0b
17-10-2023,477000,secondary,53,FALSE,null,agency,3,https://otodom.pl/pl/oferta/po-remoncie-3-pokojowe-ID4mX29,TRUE,4mX29
17-10-2023,720000,secondary,39,FALSE,null,private,2,https://otodom.pl/pl/oferta/mietowe-mieszkanie-oddzielna-kuchnia-balkon-ID4nrF9,TRUE,4nrF9
17-10-2023,850000,secondary,86.5,TRUE,null,agency,3,https://otodom.pl/pl/oferta/mieszkanie-dla-milosnikow-kamienic-piekne-3pokoje-ID4nq1p,TRUE,4nq1p
17-10-2023,1280000,secondary,75,FALSE,null,agency,3,https://otodom.pl/pl/oferta/srebrnych-orlow-mistrzejowice-75m-3pok-eng-ID4nwhi,TRUE,4nwhi
17-10-2023,849000,secondary,79.71,FALSE,null,agency,4,https://otodom.pl/pl/oferta/mieszkanie-gdansk-ujescisko-ID4njJ9,TRUE,4njJ9
17-10-2023,776197,primary,55.58,FALSE,null,agency,3,https://otodom.pl/pl/oferta/mieszkanie-3-pok-55m2-2-str-przestrzalowe-2-5-ID4ngud,TRUE,4ngud
17-10-2023,385000,secondary,67,FALSE,null,agency,3,https://otodom.pl/pl/oferta/suwalki-trzy-pokoje-na-sprzedaz-ID4nliF,TRUE,4nliF
17-10-2023,541725,primary,35.43,TRUE,null,agency,2,https://otodom.pl/pl/oferta/mozliwosc-zrobienia-2-pokoi-w-centrum-miasta-ID4nlcn,TRUE,4nlcn
17-10-2023,468425,primary,45.58,TRUE,null,agency,3,https://otodom.pl/pl/oferta/promocja-3-pokoje-balkon-tramwaj-rataje-ID4nlvT,TRUE,4nlvT
17-10-2023,599000,secondary,55.73,FALSE,null,agency,3,https://otodom.pl/pl/oferta/nowe-3-pokojowe-z-miejscem-parkingowym-juz-ID4njKF,TRUE,4njKF
17-10-2023,499000,secondary,140,TRUE,null,agency,4,https://otodom.pl/pl/oferta/dom-do-sprzedania-zabrodzie-ID4jRAB,TRUE,4jRAB
17-10-2023,494132,primary,60.26,FALSE,null,agency,3,https://otodom.pl/pl/oferta/mieszkanie-3-pok-60-26-m2-herby-ul-sowia-ID4nvXG,TRUE,4nvXG
17-10-2023,657800,primary,58.35,FALSE,null,agency,3,https://otodom.pl/pl/oferta/nowe-mieszkanie-trzypokojowe-ID4kk10,TRUE,4kk10
17-10-2023,1080000,secondary,67,TRUE,null,private,3,https://otodom.pl/pl/oferta/mieszkanie-67m2-25m2-ogrodek-na-os-podwawelskim-ID4nelI,TRUE,4nelI
17-10-2023,620000,secondary,34.9,FALSE,null,private,2,https://otodom.pl/pl/oferta/2-pokoje-34-90-m2-ogrodek-21m2-tramwaj-4-min-ID4nvMH,TRUE,4nvMH
17-10-2023,1017487,primary,66.83,FALSE,null,agency,3,https://otodom.pl/pl/oferta/apartament-6-min-od-morza-ID4nneM,TRUE,4nneM
